landscape_rank,serious_skim,deep_read,hostile_prior,title,year,venue,doi,url,cited_by_count,primary_theme,score,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,annotation_basis,source_query,abstract_excerpt
1,yes,yes,yes,FlowNet3D: Learning Scene Flow in 3D Point Clouds,2019,,https://doi.org/10.1109/cvpr.2019.00062,https://openalex.org/W2962771259,517,3d_perception,195.7,Build geometric representations that support downstream embodied decisions.,Dense motion/correspondence estimator over images or point clouds.,camera motion and agent motion are either known or ignorable,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","missing depth, moving sensors, domain shift, nonrigid objects","Uses dense motion as a representation for manipulation, so novelty cannot be mere flow prediction.",Does not explicitly decompose observed flow into passive dynamics and robot-caused counterfactual effect fields.,metadata+abstract heuristic,openalex:scene flow robotics,"Many applications in robotics and human-computer interaction can benefit from understanding 3D motion of points in a dynamic environment, widely noted as scene flow. While most previous methods focus on stereo and RGB-D images as input, few try to estimate scene flow directly from point clouds. In this work, we propose a novel deep neural network named FlowNet3D that learns scene flow from point clouds in an end-to-end fashion. Our network simultaneously learns deep hierarchical features of poin"
2,yes,yes,yes,FlowBot3D: Learning 3D Articulation Flow to Manipulate Articulated Objects,2022,CoRL,,https://arxiv.org/abs/2205.04382,0,robot_manipulation,166.9,Convert perception and action experience into manipulation behavior.,Task-specific learned representation or dynamics model.,all observed motion is equally useful for planning,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","out-of-distribution contacts, clutter, causal confusion, long-horizon credit assignment","Uses dense motion as a representation for manipulation, so novelty cannot be mere flow prediction.",Usually treats the transition model as a black box rather than auditing which motion the action actually caused.,manual anchor+heuristic,manual_anchor,A robot learns articulation flow on articulated objects and converts predicted motion into manipulation actions.
3,yes,yes,yes,PointPWC-Net: Cost Volume on Point Clouds for Self-Supervised Scene Flow Estimation,2020,ECCV,,https://arxiv.org/abs/1911.12408,0,scene_flow,162.6,Estimate dense 3D motion/correspondence from visual observations.,"Self-supervised losses from reconstruction, consistency, or temporal prediction.",scene flow is an exogenous perception target rather than an action-conditioned causal variable,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","contact, occlusion, independent camera/background motion, unseen robot-caused effects","Uses dense motion as a representation for manipulation, so novelty cannot be mere flow prediction.",Does not explicitly decompose observed flow into passive dynamics and robot-caused counterfactual effect fields.,manual anchor+heuristic,manual_anchor,A coarse-to-fine point-cloud cost volume architecture estimates scene flow with self-supervised losses.
4,yes,yes,yes,Learning Synergies between Pushing and Grasping with Self-supervised Deep Reinforcement Learning,2018,IROS,,https://arxiv.org/abs/1803.09956,0,robot_manipulation,160.3,Convert perception and action experience into manipulation behavior.,"Self-supervised losses from reconstruction, consistency, or temporal prediction.",the gripper-induced component can be learned from passive video statistics,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","out-of-distribution contacts, clutter, causal confusion, long-horizon credit assignment","Covers part of embodied prediction/control, so novelty must be in causal field decomposition and planning use.",Usually treats the transition model as a black box rather than auditing which motion the action actually caused.,manual anchor+heuristic,manual_anchor,A robot learns pushing and grasping synergies from self-supervised interaction data.
5,yes,yes,yes,RAFT-3D: Scene Flow using Rigid-Motion Embeddings,2021,CVPR,,https://arxiv.org/abs/2009.07782,0,scene_flow,156.75,Estimate dense 3D motion/correspondence from visual observations.,Dense motion/correspondence estimator over images or point clouds.,objects move independently of the robot except at explicit contact moments,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","contact, occlusion, independent camera/background motion, unseen robot-caused effects","Uses dense motion as a representation for manipulation, so novelty cannot be mere flow prediction.",Does not explicitly decompose observed flow into passive dynamics and robot-caused counterfactual effect fields.,manual anchor+heuristic,manual_anchor,A recurrent field-transform method estimates dense 3D scene flow with rigid-motion embeddings.
6,yes,yes,yes,Dense Object Nets: Learning Dense Visual Object Descriptors By and For Robotic Manipulation,2018,CoRL,,https://arxiv.org/abs/1806.08756,0,robot_manipulation,153.3,Convert perception and action experience into manipulation behavior.,"Self-supervised losses from reconstruction, consistency, or temporal prediction.",background motion is nuisance noise rather than a confounder,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","out-of-distribution contacts, clutter, causal confusion, long-horizon credit assignment","Covers part of embodied prediction/control, so novelty must be in causal field decomposition and planning use.",Usually treats the transition model as a black box rather than auditing which motion the action actually caused.,manual anchor+heuristic,manual_anchor,Self-supervised dense descriptors provide object correspondences for robotic manipulation.
7,yes,yes,yes,Scene Flow Fields: Dense Interpolation of Sparse Scene Flow Correspondences,2015,ICCV,,https://openaccess.thecvf.com/content_iccv_2015/html/Menze_Scene_Flow_Fields_ICCV_2015_paper.html,0,scene_flow,153.0,Estimate dense 3D motion/correspondence from visual observations.,Dense motion/correspondence estimator over images or point clouds.,dense correspondences are enough to infer manipulability,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","contact, occlusion, independent camera/background motion, unseen robot-caused effects","Uses dense motion as a representation for manipulation, so novelty cannot be mere flow prediction.",Does not explicitly decompose observed flow into passive dynamics and robot-caused counterfactual effect fields.,manual anchor+heuristic,manual_anchor,A geometric scene-flow method interpolates sparse correspondences with rigidity assumptions.
8,yes,yes,yes,Transporter Networks: Rearranging the Visual World for Robotic Manipulation,2021,CoRL,,https://arxiv.org/abs/2010.14406,0,robot_manipulation,150.75,Convert perception and action experience into manipulation behavior.,Geometric equivariance or rigid-motion factorization.,rigidity or smoothness priors hold during contact-rich interaction,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","out-of-distribution contacts, clutter, causal confusion, long-horizon credit assignment","Covers part of embodied prediction/control, so novelty must be in causal field decomposition and planning use.",Usually treats the transition model as a black box rather than auditing which motion the action actually caused.,manual anchor+heuristic,manual_anchor,Equivariant pick-and-place policies transport visual features to plan tabletop rearrangement.
9,yes,yes,yes,Visual Foresight: Model-Based Deep Reinforcement Learning for Vision-Based Robotic Control,2017,arXiv,,https://arxiv.org/abs/1709.07871,0,robot_manipulation,150.15,Convert perception and action experience into manipulation behavior.,"Policy/value learning from demonstrations, rewards, or interaction.",occlusion does not erase the causal evidence needed for planning,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","out-of-distribution contacts, clutter, causal confusion, long-horizon credit assignment","Covers part of embodied prediction/control, so novelty must be in causal field decomposition and planning use.",Usually treats the transition model as a black box rather than auditing which motion the action actually caused.,manual anchor+heuristic,manual_anchor,A video-prediction model plans robot actions by forecasting image-space consequences.
10,yes,yes,yes,"Interaction Networks for Learning about Objects, Relations and Physics",2016,NeurIPS,,https://arxiv.org/abs/1612.00222,0,interaction_dynamics,149.0,Predict physical change during object-object or robot-object interaction.,Relational/graph representation with learned message passing.,the same flow estimator serves passive prediction and control,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","multi-body chains, deformation, friction shifts, hidden contacts","Covers part of embodied prediction/control, so novelty must be in causal field decomposition and planning use.",Often predicts interaction outcomes without isolating the agent's incremental causal contribution.,manual anchor+heuristic,manual_anchor,A graph neural network predicts physical interactions among objects from relational structure.
11,yes,yes,yes,NSFP: Neural Scene Flow Prior,2021,CVPR,,https://arxiv.org/abs/2111.01253,0,scene_flow,147.75,Estimate dense 3D motion/correspondence from visual observations.,Dense motion/correspondence estimator over images or point clouds.,object identity is stable across interventions,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","contact, occlusion, independent camera/background motion, unseen robot-caused effects","Uses dense motion as a representation for manipulation, so novelty cannot be mere flow prediction.",Does not explicitly decompose observed flow into passive dynamics and robot-caused counterfactual effect fields.,manual anchor+heuristic,manual_anchor,A coordinate MLP prior optimizes scene flow directly for each point-cloud pair without training data.
12,yes,yes,yes,Learning to See Before Learning to Act: Visual Pre-training for Manipulation,2020,ICRA,,,0,robot_manipulation,145.6,Convert perception and action experience into manipulation behavior.,Task-specific learned representation or dynamics model.,contact geometry is visible in RGB-D or point clouds,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","out-of-distribution contacts, clutter, causal confusion, long-horizon credit assignment","Covers part of embodied prediction/control, so novelty must be in causal field decomposition and planning use.",Usually treats the transition model as a black box rather than auditing which motion the action actually caused.,manual anchor+heuristic,manual_anchor,Vision representations are pretrained to improve downstream robot manipulation.
13,yes,yes,yes,Causal InfoGAN: Learning Causal Implicit Generative Models with Adversarial Training,2017,arXiv,,https://arxiv.org/abs/1709.02023,0,causal_learning,143.15,Separate causal intervention structure from observational correlation.,"Causal graph, intervention, or counterfactual learning objective.",temporal differencing separates cause from coincidence,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","unobserved confounding, weak interventions, misspecified variables","Covers part of embodied prediction/control, so novelty must be in causal field decomposition and planning use.",Rarely grounds causal variables as dense 3D fields usable by a robot planner.,manual anchor+heuristic,manual_anchor,Causal representation learning separates interventions from observational dependencies in generative models.
14,yes,yes,yes,Causal Confusion in Imitation Learning,2019,NeurIPS,,https://arxiv.org/abs/1905.11979,0,causal_learning,139.45,Separate causal intervention structure from observational correlation.,"Causal graph, intervention, or counterfactual learning objective.",action labels are sufficient to bind motion to agent effort,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","unobserved confounding, weak interventions, misspecified variables","Covers part of embodied prediction/control, so novelty must be in causal field decomposition and planning use.",Rarely grounds causal variables as dense 3D fields usable by a robot planner.,manual anchor+heuristic,manual_anchor,Imitation policies can latch onto action-correlated but causally irrelevant observations.
